HD22951,20160829,,,,
HD23016,20140923,20140920,,,
HD23180,20140923,20141029,20160819,20170827,
HD23466,20180731,,,,
HD24398,20160914,20140923,,,
HD27778,20141029,20141122,,,
HD34748,20160223,20160406,,,
HD36486,20140924,20140930,20141010,,
HD36695,20150822,,,,
HD36822,20140926,,,,
HD36861,20160222,20140926,,,
HD36982,20171218,,,,
HD37020,20170826,20171001,,,
HD37022,20140924,20160222,,,
HD37041,20140924,,,,
HD37061,20190101,20160912,,,
HD37128,20170809,,,,
HD37367,20141011,20170223,,,
HD37903,20180317,20140929,,,
HD39680,20190101,20180214,,,
HD40111,20141104,20141029,20150927,,
HD41117,20160222,20150927,,,
HD43384,20150930,,,,
HD45314,20180212,,,,
HD49787,20180212,20180215,,,
HD50820,20171002,20171218,,,
HD53975,20150130,20180319,20190101,,
HD54239,20170417,,,,
HD54439,20170426,,,,
HD54662,20151121,20151114,,,
HD55879,20160222,20150120,20170102,,
HD57061,20141010,,,,
HD61827,20180324,20180325,,,
HD63804,20190203,20190204,,,
HD66194,20141006,20190101,,,
HD66811,20141010,,,,
HD73882,20170425,,,,
HD75309,20141221,20141013,,,
HD75860,20170429,20170430,,,
HD79186,20141013,20160221,,,
HD80558,20150603,20160221,,,
HD81188,20170418,,,,
HD91824,20150212,20150219,20150221,,
HD93030,20141210,,,,
HD93205,20150227,,,,
HD93222,20170425,,,,
HD93843,20170107,,,,
HD94493,20150216,20150114,20150212,,
HD99953,20170429,,,,
HD101065,20170420,20170424,,,
HD103779,20160318,20170427,20150227,,
HD104705,20160320,20150301,20160329,,
HD109399,20160715,,,,
HD110432,20180619,20180618,,,
HD111934,20170427,20170428,,,
HD112272,20170501,20170430,,,
HD113904,20141214,20150531,,,
HD114886,20170503,,,,
HD116852,20170429,20160329,20170423,,
HD122879,20160318,,,,
HD124314,20170501,,,,
HD133518,20150630,,,,
HD135591,20160222,20150628,,,
HD143275,20150720,,,,
HD144217,20180809,,,,
HD144470,20150720,,,,
HD145502,20140915,20140916,,,
HD147084,20160419,,,,
HD147165,20150531,,,,
HD147683,20160707,20180603,20180902,,
HD147888,20140923,20160808,20140924,,
HD147889,20150816,20140927,20140928,,
HD147932,20180903,,,,
HD147933,20170615,20170508,,,
HD148184,20180623,,,,
HD148605,20140916,20140914,20140915,,
HD148937,20150817,20170424,,,
HD149038,20160222,20150628,,,
HD149404,20170507,20170418,20180623,20180630,20170417
HD149757,20180623,20150720,,,
HD150136,20150628,,,,
HD151804,20160521,20170418,20150720,20160702,20160510
HD152248,20170507,20170509,,,
HD152408,20160510,20160403,20150618,,
HD152424,20160411,,,,
HD153919,20160707,,,,
HD154043,20170719,20170502,20170718,,
HD154368,20180630,,,,
HD155806,20150703,,,,
HD156201,20180830,,,,
HD157246,20150720,,,,
HD157978,20160508,20160616,,,
HD161056,20170615,20170701,,,
HD164073,20180830,,,,
HD164353,20170615,,,,
HD164906,20180909,20181006,20180903,,
HD165319,20181006,,,,
HD166937,20170508,,,,
HD167264,20140916,20151015,20140915,20151014,20160323
HD167838,20160808,20180902,,,
HD167971,20140921,,,,
HD168076,20180911,20180912,,,
HD169454,20160714,20160724,,,
HD170740,20160612,20150424,20170701,20160505,20140916
HD170938,20180911,,,,
HD171957,20160613,,,,
HD172694,20150816,20150911,,,
HD179406,20180715,,,,
HD180554,20160612,,,,
HD183143,20180903,20180907,,,
HD184915,20160609,20140916,20140915,,
HD185418,20140922,20140923,,,
HD185859,20160814,20150920,20160813,,
HD186745,20150920,20160909,,,
HD186841,20160909,20160910,,,
HD203532,20160724,20140923,,,
HD210121,20170922,,,,
HD303308,20170107,20170501,,,
lambdaSco,20150720,,,,
kappaOri,20150927,,,,
